6.099999999999999645e+00,1.565062857142281132e+02,3.741612515633818958e+01
7.200000000000000178e+00,1.413648571427285674e+02,4.459714574534542919e+01
6.400000000000000355e+00,1.623718333339177775e+02,4.959763448599947822e+01
6.900000000000000355e+00,1.462251071433891241e+02,4.925727729012889711e+01
7.299999999999999822e+00,1.359915357147804400e+02,3.268843061468830768e+01
6.900000000000000355e+00,1.558041190481858678e+02,4.368353310408324575e+01
7.299999999999999822e+00,1.407932857147979178e+02,4.245122558996554574e+01
7.099999999999999645e+00,1.402705476195579308e+02,4.009234008639563740e+01
6.700000000000000178e+00,1.401926190458465840e+02,3.031073268391155651e+01
6.799999999999999822e+00,1.456908690454989426e+02,4.185249509261587519e+01
7.400000000000000355e+00,1.357713690456433255e+02,2.894466420504730308e+01
6.500000000000000000e+00,1.527680952358721527e+02,4.775892713897596309e+01
6.599999999999999645e+00,1.542079761882321804e+02,5.428291383376425472e+01
6.700000000000000178e+00,1.546509523787019020e+02,5.037304105223306294e+01
6.599999999999999645e+00,1.541429999977569310e+02,5.268497554970207375e+01
6.799999999999999822e+00,1.449463809502717027e+02,4.455603307009664604e+01
6.900000000000000355e+00,1.423293571407859872e+02,4.212823759377401700e+01
6.799999999999999822e+00,1.439465952360005190e+02,4.217490001696511115e+01
7.000000000000000000e+00,1.466425238073898640e+02,4.728502661389090633e+01
6.700000000000000178e+00,1.522686666644508762e+02,4.595841413930987329e+01
6.500000000000000000e+00,1.533162142834832480e+02,4.781897482996738091e+01
6.900000000000000355e+00,1.430781666645846144e+02,4.183824274563568935e+01
6.500000000000000000e+00,1.511853333311333074e+02,4.499470177470338683e+01
6.799999999999999822e+00,1.490644523787831872e+02,4.233914152321237623e+01
6.700000000000000178e+00,1.448285714264638955e+02,3.752557058114025068e+01
7.200000000000000178e+00,1.394170952360664728e+02,3.434990240899526270e+01
6.599999999999999645e+00,1.504107380930493321e+02,5.088627624215562406e+01
6.500000000000000000e+00,1.438586547598113441e+02,4.978337507698945075e+01
6.799999999999999822e+00,1.448853333312249561e+02,3.934090170808958931e+01
7.099999999999999645e+00,1.384756190456039633e+02,4.112989660124809177e+01
